"RingNR","Opponent1_ID","Opponent2_ID","TrialID","GroupID","Producing_events","Scrounging_events","TrialNR_Indiv","Trial_day_bin","Grp_tr_b4","bmr_YN","Year","Series_ID_year","Series_opp1_year","Series_opp2_year"
"8P26888","8P26887","8P26889","9_2",1,1,0,11,0,0,1,2022,"8P26888_2022","8P26887_2022","8P26889_2022"
"8P26889","8P26888","8P26887","9_2",1,1,0,11,0,0,1,2022,"8P26889_2022","8P26888_2022","8P26887_2022"
"8P26890","8P26891","8P14992","9_3",1,1,0,11,0,0,1,2022,"8P26890_2022","8P26891_2022","8P14992_2022"
"8P26891","8P14992","8P26890","9_3",1,3,0,11,0,0,1,2022,"8P26891_2022","8P14992_2022","8P26890_2022"
"8P26803","8P26808","8P26892","15_1",2,1,0,1,0,0,1,2022,"8P26803_2022","8P26808_2022","8P26892_2022"
"8P26808","8P26892","8P26803","15_1",2,1,2,1,0,0,1,2022,"8P26808_2022","8P26892_2022","8P26803_2022"
"8P26892","8P26803","8P26808","15_1",2,1,2,1,0,0,1,2022,"8P26892_2022","8P26803_2022","8P26808_2022"
"8P26808","8P26876","8P26894","16_3",2,3,1,2,0,0,1,2022,"8P26808_2022","8P26876_2022","8P26894_2022"
"8P26876","8P26894","8P26808","16_3",2,2,0,2,0,0,1,2022,"8P26876_2022","8P26894_2022","8P26808_2022"
"8P26894","8P26808","8P26876","16_3",2,1,0,2,0,0,1,2022,"8P26894_2022","8P26808_2022","8P26876_2022"
"8P14988","8P26803","8P26808","17_2",2,0,1,2,0,0,1,2022,"8P14988_2022","8P26803_2022","8P26808_2022"
"8P26803","8P26808","8P14988","17_2",2,1,0,2,0,0,1,2022,"8P26803_2022","8P26808_2022","8P14988_2022"
"8P26808","8P14988","8P26803","17_2",2,2,0,3,0,0,1,2022,"8P26808_2022","8P14988_2022","8P26803_2022"
"8P26876","8P26892","8P26894","17_3",2,2,0,3,0,0,1,2022,"8P26876_2022","8P26892_2022","8P26894_2022"
